City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,51.94,81,100,2.95,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,60.91,80,45,15.28,scattered clouds
2,Birjand,IR,32.8663,59.2211,30.67,37,0,0.0,clear sky
3,Lakatoro,VU,-16.0999,167.4164,79.54,72,99,4.97,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,62.11,66,0,12.66,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,57.27,77,94,12.86,light rain
6,Inhambane,MZ,-23.865,35.3833,75.18,94,75,5.75,light rain
7,Atuona,PF,-9.8,-139.0333,78.37,75,4,14.85,clear sky
8,Dunedin,NZ,-45.8742,170.5036,58.35,78,100,4.63,moderate rain
9,Erzin,TR,36.9559,36.2,54.32,85,100,1.63,light rain
10,Jamestown,US,42.097,-79.2353,35.19,88,90,4.0,overcast clouds
11,Hun,LY,29.1268,15.9477,62.67,71,100,7.99,overcast clouds
12,Khatanga,RU,71.9667,102.5,-19.08,95,100,4.45,overcast clouds
13,East London,ZA,-33.0153,27.9116,58.14,100,40,3.44,light rain
14,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,57,3.0,broken clouds
15,Barrow,US,71.2906,-156.7887,10.42,79,90,5.75,overcast clouds
16,Chicama,PE,-7.8447,-79.1469,61.34,84,74,4.18,broken clouds
17,Busselton,AU,-33.65,115.3333,79.05,43,13,8.28,few clouds
18,Rikitea,PF,-23.1203,-134.9692,73.58,67,60,10.4,broken clouds
19,Avarua,CK,-21.2078,-159.775,78.85,73,20,11.5,few clouds
20,Albany,US,42.6001,-73.9662,33.75,82,1,4.74,clear sky
21,Isla Mujeres,MX,21.2311,-86.731,75.25,81,97,10.54,overcast clouds
22,Mineral Wells,US,32.8085,-98.1128,55.33,35,1,17.27,clear sky
23,Honningsvag,NO,70.9821,25.9704,34.79,91,100,27.49,light rain
24,Saint George,US,37.1041,-113.5841,59.34,41,1,0.0,clear sky
25,Vaini,TO,-21.2,-175.2,82.56,89,20,6.91,few clouds
26,Flin Flon,CA,54.7682,-101.865,24.53,91,100,9.35,overcast clouds
27,Nishihara,JP,26.1842,127.7558,80.26,65,40,13.8,scattered clouds
28,Saint-Philippe,RE,-21.3585,55.7679,83.48,64,24,13.2,few clouds
29,Dikson,RU,73.5069,80.5464,-6.0,95,98,5.03,overcast clouds
30,Esperance,AU,-33.8667,121.9,71.44,51,2,15.93,clear sky
31,Port Hedland,AU,-20.3167,118.5667,96.85,32,27,14.97,scattered clouds
32,Constitucion,CL,-35.3333,-72.4167,51.67,92,45,1.34,scattered clouds
33,Penzance,GB,50.1186,-5.5371,51.76,75,100,4.38,overcast clouds
34,Poum,NC,-20.2333,164.0167,77.49,75,1,21.61,clear sky
35,Castro,BR,-24.7911,-50.0119,58.68,93,96,8.63,overcast clouds
36,Kodiak,US,57.79,-152.4072,26.11,68,90,11.5,light snow
37,Ushuaia,AR,-54.8,-68.3,38.86,75,75,28.77,broken clouds
38,Qaanaaq,GL,77.484,-69.3632,-4.38,72,64,8.19,broken clouds
39,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,41.43,scattered clouds
40,Georgetown,MY,5.4112,100.3354,87.75,70,20,1.99,few clouds
41,Pangnirtung,CA,66.1451,-65.7125,18.37,74,100,8.59,overcast clouds
42,Clyde River,CA,70.4692,-68.5914,12.43,85,100,20.71,light snow
43,Saucillo,MX,28.0167,-105.2833,57.81,61,6,7.23,clear sky
44,Hobart,AU,-42.8794,147.3294,61.11,65,75,10.36,broken clouds
45,Muli,MV,2.9167,73.5667,82.71,74,62,16.53,broken clouds
46,Ostrovnoy,RU,68.0531,39.5131,29.89,94,100,9.8,light snow
47,Mount Gambier,AU,-37.8333,140.7667,58.91,58,90,14.97,overcast clouds
