City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,51.94,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
5,Bredasdorp,ZA,57.27,light rain,-34.5322,20.0403,Bredasdorp Country Manor
8,Dunedin,NZ,58.35,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
9,Erzin,TR,54.32,light rain,36.9559,36.2,Artemis Otel
10,Jamestown,US,35.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,East London,ZA,58.14,light rain,-33.0153,27.9116,Tu Casa
22,Mineral Wells,US,55.33,clear sky,32.8085,-98.1128,The Baker Hotel and Spa
24,Saint George,US,59.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
32,Constitucion,CL,51.67,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
33,Penzance,GB,51.76,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
35,Castro,BR,58.68,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
37,Ushuaia,AR,38.86,broken clouds,-54.8,-68.3,Albatros Hotel
39,Punta Arenas,CL,42.91,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
43,Saucillo,MX,57.81,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
47,Mount Gambier,AU,58.91,overcast clouds,-37.8333,140.7667,The Commodore
49,Mataura,NZ,57.74,overcast clouds,-46.1927,168.8643,Ellie's Villa
51,Nova Zagora,BG,37.67,overcast clouds,42.4833,26.0167,Hotel Rio
55,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
58,Pedroso,PT,59.25,clear sky,41.411,-8.749,Grande Hotel da Póvoa
60,Lebu,CL,52.5,few clouds,-37.6167,-73.65,Hostal Las Lilas
62,Nikolskoye,RU,35.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
67,Chuy,UY,58.48,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
74,Aleksandrov Gay,RU,35.4,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
75,Codrington,AU,58.42,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
87,Narsaq,GL,35.82,moderate rain,60.9167,-46.05,Sleep In Narsaq
93,Port Elizabeth,ZA,57.49,light rain,-33.918,25.5701,39 On Nile Guest House
97,Bonavista,CA,53.11,light rain,48.6499,-53.1147,Abbott's Bed & Breakfast
98,Vardo,NO,35.31,light rain,70.3705,31.1107,Vardø Hotel AS
99,Saldanha,ZA,51.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
106,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Punto de encuentro
112,Roald,NO,47.34,light rain,62.5833,6.1333,Flem Cabins
115,Cap-Aux-Meules,CA,39.22,broken clouds,47.3821,-61.8597,Auberge Madeli
117,Grand Island,US,42.03,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
126,Muros,ES,52.3,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
129,Nizhniy Baskunchak,RU,38.05,overcast clouds,48.2198,46.8311,Arman hotel
130,Bethel,US,39.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
