City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iqaluit,CA,2021-11-16 02:00:14,63.7506,-68.5145,0.7,64,8,15.99
1,Provideniya,RU,2021-11-16 02:03:01,64.3833,-173.3,19.51,73,90,15.66
2,Tuatapere,NZ,2021-11-16 02:03:01,-46.1333,167.6833,51.62,72,100,11.79
3,Ribeira Grande,PT,2021-11-16 02:03:01,38.5167,-28.7,68.04,83,10,14.92
4,Half Moon Bay,US,2021-11-16 02:01:33,37.4636,-122.4286,62.62,90,20,1.01
5,Ushuaia,AR,2021-11-16 02:03:02,-54.8,-68.3,36.81,84,100,4.68
6,Mataura,NZ,2021-11-16 02:03:03,-46.1927,168.8643,56.91,56,99,11.3
7,Rikitea,PF,2021-11-16 02:03:03,-23.1203,-134.9692,73.35,88,99,12.59
8,Punta Arenas,CL,2021-11-16 02:01:05,-53.15,-70.9167,44.11,65,24,13.18
9,Arraial Do Cabo,BR,2021-11-16 02:03:04,-22.9661,-42.0278,71.35,73,90,22.1
10,Kodiak,US,2021-11-16 02:03:04,57.79,-152.4072,24.31,58,1,5.75
11,Richards Bay,ZA,2021-11-16 02:03:05,-28.783,32.0377,71.62,89,85,11.34
12,West Wendover,US,2021-11-16 02:03:05,40.7391,-114.0733,45.61,66,1,3.44
13,Vestmannaeyjar,IS,2021-11-16 02:03:05,63.4427,-20.2734,40.64,71,100,31.05
14,Barrow,US,2021-11-16 02:02:18,71.2906,-156.7887,1.42,71,90,14.97
15,Vao,NC,2021-11-16 02:03:06,-22.6667,167.4833,76.78,71,1,11.72
16,Ayotzintepec,MX,2021-11-16 02:03:06,17.6667,-96.1333,65.93,96,9,2.73
17,Sao Felix Do Xingu,BR,2021-11-16 02:00:40,-6.6447,-51.995,72.37,99,100,0.27
18,San Quintin,MX,2021-11-16 02:03:07,30.4833,-115.95,66.2,70,0,7.52
19,Cape Town,ZA,2021-11-16 01:58:40,-33.9258,18.4232,66.11,79,75,4.61
20,Tasiilaq,GL,2021-11-16 02:03:07,65.6145,-37.6368,24.96,62,17,11.48
21,Longyearbyen,SJ,2021-11-16 02:01:05,78.2186,15.6401,19.24,73,75,23.02
22,Bredasdorp,ZA,2021-11-16 02:03:08,-34.5322,20.0403,61.29,83,100,5.97
23,Nome,US,2021-11-16 02:03:08,64.5011,-165.4064,6.87,66,1,0.0
24,Port Alfred,ZA,2021-11-16 02:03:08,-33.5906,26.891,62.6,84,86,15.39
25,Temiscaming,CA,2021-11-16 02:03:09,46.7212,-79.0971,33.48,73,99,6.8
26,Albany,US,2021-11-16 02:00:13,42.6001,-73.9662,37.8,81,13,1.01
27,Vaini,TO,2021-11-16 02:03:09,-21.2,-175.2,78.96,83,40,11.5
28,Kahului,US,2021-11-16 02:03:10,20.8947,-156.47,82.98,81,40,12.66
29,Avarua,CK,2021-11-16 02:01:24,-21.2078,-159.775,77.05,78,20,4.61
30,Tiksi,RU,2021-11-16 02:03:10,71.6872,128.8694,-7.89,92,100,5.93
31,Dudinka,RU,2021-11-16 02:03:11,69.4058,86.1778,-0.13,93,100,16.62
32,Saint George,US,2021-11-16 02:00:10,37.1041,-113.5841,68.34,34,1,1.99
33,Itumbiara,BR,2021-11-16 02:03:11,-18.4192,-49.2153,74.14,72,100,9.57
34,Sinop,TR,2021-11-16 02:03:12,41.7711,34.8709,41.41,92,87,1.95
35,Port Keats,AU,2021-11-16 02:03:12,-14.25,129.55,96.57,16,16,9.48
36,Zhigansk,RU,2021-11-16 02:03:12,66.7697,123.3711,-25.35,100,87,0.96
37,Mahanoro,MG,2021-11-16 02:03:13,-19.9,48.8,71.96,93,65,4.47
38,Geraldton,AU,2021-11-16 02:03:13,-28.7667,114.6,72.01,64,75,11.5
39,Diourbel,SN,2021-11-16 02:03:13,14.6628,-16.3925,77.81,61,90,9.42
40,Ancud,CL,2021-11-16 02:01:52,-41.8697,-73.8203,44.42,82,9,5.64
41,Kenai,US,2021-11-16 02:03:14,60.5544,-151.2583,13.08,88,1,3.44
42,Minab,IR,2021-11-16 02:04:14,27.1467,57.0801,69.53,22,0,4.88
43,Busselton,AU,2021-11-16 02:04:15,-33.65,115.3333,70.79,59,8,3.13
44,Bluff,NZ,2021-11-16 02:01:09,-46.6,168.3333,52.84,68,82,27.45
45,Puerto Ayora,EC,2021-11-16 02:04:15,-0.7393,-90.3518,67.51,84,27,7.92
46,Kaitangata,NZ,2021-11-16 02:04:16,-46.2817,169.8464,62.92,39,100,13.31
47,Vaitape,PF,2021-11-16 02:04:16,-16.5167,-151.75,80.76,74,100,10.22
48,Kruisfontein,ZA,2021-11-16 02:04:16,-34.0033,24.7314,60.89,72,100,11.92
49,Lagoa,PT,2021-11-16 02:04:17,39.05,-27.9833,66.16,85,0,17.38
50,Atuona,PF,2021-11-16 02:04:17,-9.8,-139.0333,78.24,74,27,12.37
51,Ilulissat,GL,2021-11-16 02:04:17,69.2167,-51.1,12.22,62,20,8.05
52,Saskylakh,RU,2021-11-16 02:04:18,71.9167,114.0833,-27.47,100,86,3.49
53,Northam,GB,2021-11-16 02:04:18,51.0333,-4.2167,52.43,95,99,5.19
54,Asau,RO,2021-11-16 02:04:18,46.4333,26.4,42.4,79,81,3.29
55,Hilo,US,2021-11-16 02:04:19,19.7297,-155.09,83.28,86,90,8.05
56,North Battleford,CA,2021-11-16 02:03:36,52.7834,-108.2847,33.4,97,100,17.52
57,Chuy,UY,2021-11-16 02:04:19,-33.6971,-53.4616,65.95,91,2,9.86
58,Mahon,ES,2021-11-16 02:04:19,39.8885,4.2658,55.96,94,75,26.46
59,Velikooktyabrskiy,RU,2021-11-16 02:04:20,57.4333,33.8159,28.08,71,33,10.58
60,Clyde River,CA,2021-11-16 02:04:20,70.4692,-68.5914,5.18,79,100,4.16
61,Lebu,CL,2021-11-16 02:04:20,-37.6167,-73.65,51.58,75,0,21.0
62,Lompoc,US,2021-11-16 02:04:21,34.6391,-120.4579,66.92,89,90,0.0
63,Port Elizabeth,ZA,2021-11-16 02:04:21,-33.918,25.5701,64.69,77,20,19.57
64,Bambous Virieux,MU,2021-11-16 02:04:22,-20.3428,57.7575,76.21,70,78,10.56
65,Katsuura,JP,2021-11-16 02:04:22,35.1333,140.3,60.91,73,59,8.16
66,Sitka,US,2021-11-16 02:04:23,57.0531,-135.33,33.69,80,20,4.61
67,Aquiraz,BR,2021-11-16 02:04:24,-3.9014,-38.3911,86.22,64,76,15.01
68,Nanortalik,GL,2021-11-16 02:04:24,60.1432,-45.2371,19.36,62,0,31.45
69,Oleksandrivka,UA,2021-11-16 02:04:24,48.9634,32.2349,29.21,73,7,6.73
70,Bathsheba,BB,2021-11-16 02:04:25,13.2167,-59.5167,81.21,74,75,20.71
71,Nago,JP,2021-11-16 02:04:25,26.5881,127.9761,77.45,53,42,10.63
72,Dunedin,NZ,2021-11-16 02:04:26,-45.8742,170.5036,62.71,43,100,9.75
73,Carnarvon,AU,2021-11-16 02:04:26,-24.8667,113.6333,71.96,64,42,10.83
74,Guerrero Negro,MX,2021-11-16 02:04:27,27.9769,-114.0611,70.75,57,0,9.48
75,Sakakah,SA,2021-11-16 01:59:33,29.9697,40.2064,51.37,33,18,6.91
